link,published,sortkey,summary,title
,2020/04/20,20200420,ピザでタピる？ ドミノピザの開き直った新作「いまさらタピオカピザ」。デリバリーピザチェーン「ドミノ・ピザ」が、2019年に大ヒットしたタピオカを使った新メニュー「いまさらタピオカピザ」を期間限定で販売中。 ブームがいったん落ち着いたことも ...,ピザでタピる？ ドミノピザの開き直った新作「いまさらタピオカピザ」
,2020/04/30,20200430,食べてみたいジブリ飯、ローソンストアで売れている100均パン、ちょっと気になるランキング。日本人はランキングデータが好きだと言われるが、特に、実際に「売れているもの」には反応しやすい。そこで過去に反響の大きかったランキングデータを紹介した記事をいくつ ...,食べてみたいジブリ飯、ローソンストアで売れている100均パン、ちょっと気になるランキング
,2020/04/08,20200408,人気絶大インフルエンサー｢りょうくんグルメ｣が予言するタピオカの次に来るものとは | PRESIDENT WOMAN Online（プレジデント ウーマン オンライン）。Twitterやインスタで若者から絶大な支持を集めている「りょうくんグルメ」。タピオカブームにも一役買った彼が「次に来る」と断言するものとは。そして今後のSNS戦略は──。,人気絶大インフルエンサー｢りょうくんグルメ｣が予言するタピオカの次に来るものとは | PRESIDENT WOMAN Online（プレジデント ウーマン オンライン）
,2020/04/13,20200413,亀田史郎、ユーチューバーになって人気爆発「追っかけJKが…」（SmartFLASH）。もう、“亀田パパ” じゃないですよ。昨日も商店街を歩いてたら、小学生が『ユーチューブのおっちゃんや！』って」 嬉々として、そう明かしてくれたのは、ボクシングトレーナーの ...,亀田史郎、ユーチューバーになって人気爆発「追っかけJKが…」（SmartFLASH）
,2019/12/03,20191203,「タピる」が流行語大賞トップ１０入り…華恋さん＆奈緒さん「ブームで終わらせない」。今年話題になった言葉に贈られる「２０１９ ユーキャン新語・流行語大賞」が２日、都内で発表され、タピオカドリンクを飲むことを指す「タピる」がトップテンに選ばれた。,「タピる」が流行語大賞トップ１０入り…華恋さん＆奈緒さん「ブームで終わらせない」
,2019/12/06,20191206,タピオカ今度はカードゲームに その名も「タピるの」。バンダイナムコグループでゲームおよび玩具などを手がけるメガハウス（東京都台東区）は、カードゲーム「タピるの」を2019年12月上旬に発売する。「タピ抜き」や「タピめくり」 ...,タピオカ今度はカードゲームに その名も「タピるの」
,2020/04/05,20200405,"タヒる（たひる）。タヒる（たひる）とは、“死""を表すネットスラング。""ﾀﾋ""と半角カタカナ文字で並べると漢字の”死""に似ている、また漢字の下半分をとったのが由来とされる。タピる、ではない。",タヒる（たひる）
,2019/09/16,20190916,“タピる”人気は3回目！ 過去2回を振り返ろう。夏が過ぎても店舗によっては飲むために1時間は並ぶというタピオカドリンク。そのタピオカの歴史を振り返っていきたいと思います。 今、はやっているタピオカは第3次ブーム ...,“タピる”人気は3回目！ 過去2回を振り返ろう
,2019/12/02,20191202,流行語大賞2019にノミネートの「タピる」に使える「タピオカドリンク」の画像を公開！“おしゃれでガーリーな”フリー写真素材サイトGIRLY DROPが提供。個人・商用ともに使用できるフリー写真素材のサイトに「タピオカドリンク」の画像が追加公開。新語・流行語大賞2019にノミネートされた『タピる』に合わせて公開。今年を ...,流行語大賞2019にノミネートの「タピる」に使える「タピオカドリンク」の画像を公開！“おしゃれでガーリーな”フリー写真素材サイトGIRLY DROPが提供
,2019/12/02,20191202,"MdN Design Interactive News。株式会社メガハウスは、12月2日、4つの“タピ版”ゲームが楽しめるパーティカードゲーム「タピるの」を発売すると発表した。価格は1,480円（税抜）。 カードゲーム「タピるの」 ...",MdN Design Interactive News
,2020/01/24,20200124,“タピる？”それとも“タビる？” ジェットスター、「タピオカドリンク価格で“タビ活”！？セール」を開催。○2019年の流行語にもノミネートされた“タピる”でおなじみのタピオカドリンク1杯分の価格でセールを開催！セール販売期間は、1月27日（月）13:00～1月29日（水）18:00,“タピる？”それとも“タビる？” ジェットスター、「タピオカドリンク価格で“タビ活”！？セール」を開催
,2019/11/06,20191106,2019流行語大賞「タピる」「命を守る行動を」など30語のノミネートが決定。今年の世相を反映し、人々の話題に上った言葉に贈られる「2019ユーキャン新語・流行語大賞」ノミネート語が、11月6日に発表された。毎年12月初めに、あらゆるジャンル ...,2019流行語大賞「タピる」「命を守る行動を」など30語のノミネートが決定
,2019/12/13,20191213,#タピる の英語知ってる？ オリンピックイヤーに向けじわじわ人気で重版！ 大人気美人外国人言語学者・アンちゃんの和製英語本『 ペットボトルは英語じゃないって知っとうと!?』（ぴあ）大好評発売中。北九州市立大学の准教授であり、福岡で連載・レギュラー番組を持つ注目のアメリカ人女性“アンちゃん”ことアン・クレシーニ先生の書籍『ペットボトルは英語じゃないって知っ ...,#タピる の英語知ってる？ オリンピックイヤーに向けじわじわ人気で重版！ 大人気美人外国人言語学者・アンちゃんの和製英語本『 ペットボトルは英語じゃないって知っとうと!?』（ぴあ）大好評発売中
,2019/10/04,20191004,タピる、とりま、胸算用、未曾有... 「知っている言葉」親と子で結構違う。ベネッセホールディングスのグループ会社・ベネッセコーポレーション（岡山市）は、社内シンクタンク「ベネッセ教育総合研究所」の協力のもと、2019年7月に全国の高校生から ...,タピる、とりま、胸算用、未曾有... 「知っている言葉」親と子で結構違う
,2019/09/03,20190903,「あたおか」「タピる」「えぐいてぇ」「びえん」「あげみざわ」解読できる？今年上半期のインスタ流行語TOP5。流行発見メディアPetrelは、2019年上半期にInstagramで話題になった「流行語」を発表した。 流行語のBEST5は、1.あたおか、2.タピる・タピ活、3.えぐいてぇ、4.ぴえん5.,「あたおか」「タピる」「えぐいてぇ」「びえん」「あげみざわ」解読できる？今年上半期のインスタ流行語TOP5
,2019/12/28,20191228,【DIMEトレンド大賞2019】ホビー・カルチャー部門賞は〝タピる〟〝タピ活〟などの新語まで生み出した「タピオカミルクティー」。タピオカミルクティー〝街を歩けばタピオカ〟老若男女問わず浸透 本場台湾茶がベースのミルクティーにタピオカを入れた「タピオカミルクティー」。1990年代から2度のブーム ...,【DIMEトレンド大賞2019】ホビー・カルチャー部門賞は〝タピる〟〝タピ活〟などの新語まで生み出した「タピオカミルクティー」
,2020/02/04,20200204,議員会館で「タピる」（写真でみる永田町）。2019年は若者の間で「タピオカ」が流行しました。タピオカ入りのミルクティーなどを飲むことを指す「タピる」という表現まで出ました。専門店には行列ができ、インスタグラム ...,議員会館で「タピる」（写真でみる永田町）
,2019/10/15,20191015,タピるのは「映え」るからではなく「おいしいから」 20～30代女性のタピオカ観。女性向けにマーケティング業を展開するミュゼマーケティングが、ブームとなっているタピオカドリンクに関する調査結果を発表しました。 調査の対象となったのは、F1層と ...,タピるのは「映え」るからではなく「おいしいから」 20～30代女性のタピオカ観
,2020/02/06,20200206,“タピる”の次に流行る!? 「ガリガリ君」新作は“ピスる”アイスバー。ガリガリ君」の新作「ガリガリ君リッチピスタチオ味」が、2月11日（火）から発売される。 【写真】ガリガリ君、ピスタチオを頬張る. □塩味の効いたピスタチオの味わい 「ガリガリ君 ...,“タピる”の次に流行る!? 「ガリガリ君」新作は“ピスる”アイスバー
,2020/02/11,20200211,“タピる”の次に流行るのは“ピスる”？「ガリガリ君」新フレーバー登場。女性人気が高く、ケーキやチョコなどのスイーツでは外せないピスタチオを使った商品が、市販のお菓子でも急増中だ。 ナポリタン味やコーンポタージュ味など、ユニークな ...,“タピる”の次に流行るのは“ピスる”？「ガリガリ君」新フレーバー登場
,2019/11/09,20191109,流行語大賞候補「タピる」に青ざめるユッキーナ… ＤＭ恫喝炎上で年末まで“悪目立ち”の懸念：イザ！。このほど発表された「２０１９ユーキャン新語・流行語大賞」の候補ワード３０語。今年１年の流行が一目でわかる代物で、ここから年末にかけては話題の中心になることも多…,流行語大賞候補「タピる」に青ざめるユッキーナ… ＤＭ恫喝炎上で年末まで“悪目立ち”の懸念：イザ！
,2019/12/16,20191216,「タピる」ブームの影にごみ問題 中華街など知恵絞る。若い女性らに人気の台湾スイーツ「タピオカ」。繁華街を中心に全国で専売店が急増し、タピオカを飲むことを指す“タピる”が今年の流行語大賞にノミネートされるなどブーム…,「タピる」ブームの影にごみ問題 中華街など知恵絞る
,0000/00/00,00000000,今年のＪＣ・ＪＫ流行語「タピる」が大賞。女子大生社長の椎木里佳を中心に、女子中高生向けのマーケティング支援などを手がける「ＡＭＦ」（本社：東京都港区）が『２０１８年のＪＣ・ＪＫ流行語大賞』を発表した。,今年のＪＣ・ＪＫ流行語「タピる」が大賞
,2019/12/02,20191202,流行語大賞はONE TEAM タピる、闇営業も上位に。今年の世相を反映した言葉を選ぶ「２０１９ユーキャン新語・流行語大賞」（「現代用語の基礎知識」選）が２日、発表された。年間大賞には、ラグビー・ワールドカップで活躍 ...,流行語大賞はONE TEAM タピる、闇営業も上位に
,2020/01/22,20200122,Uberでタピる！ TikTokにダンス動画はもう古い⁈ 【若者トレンド2019年振り返り】。タピオカはなぜウケた？ ラグビーは若者にどう刺さった？ ワカモノ事情に敏感な発信部の2人が2019年に流行ったトレンドまとめを行います！ 登場人物. むらかみ 最近 ...,Uberでタピる！ TikTokにダンス動画はもう古い⁈ 【若者トレンド2019年振り返り】
,2019/12/01,20191201,自分で作ってタピる時代が到来！タピオカ風スイーツがポンッと簡単に作れる「タピッてグー！」が誕生！ゆめかわなアレンジレシピも!!。タカラトミーアーツより、タピオカ風のスイーツを簡単に手作りすることができる専用クッキングトイ「タピッてグー！」が登場！ 2020年1月30日（木）から発売となります。,自分で作ってタピる時代が到来！タピオカ風スイーツがポンッと簡単に作れる「タピッてグー！」が誕生！ゆめかわなアレンジレシピも!!
,2019/11/06,20191106,キョロちゃんもタピる チョコボール「タピオカミルクティー」味。森永製菓（本社：東京）はチョコレート菓子「チョコボール」の新フレーバー「チョコボールタピオカミルクティー」を、2019年11月5日から大手コンビニ・ファミリーマート限定で発売 ...,キョロちゃんもタピる チョコボール「タピオカミルクティー」味
